time error algout inp ref p_value i_value d_value setservo
6.820312 4.000000 36.000000 432 428 10.000000 28.886133 -1.969231 168.000000
6.919922 4.000000 39.000000 432 428 10.000000 29.005664 0.000000 171.000000
7.019531 4.000000 39.000000 432 428 10.000000 29.125195 0.000000 171.000000
7.121094 5.000000 43.000000 433 428 12.500000 29.277539 1.969231 175.000000
7.220703 4.000000 37.000000 432 428 10.000000 29.397070 -2.007843 169.000000
7.320312 4.000000 39.000000 432 428 10.000000 29.516602 0.000000 171.000000
7.421875 4.000000 39.000000 432 428 10.000000 29.638477 0.000000 171.000000
7.521484 4.000000 39.000000 432 428 10.000000 29.758008 0.000000 171.000000
7.621094 4.000000 39.000000 432 428 10.000000 29.877539 0.000000 171.000000
7.722656 4.000000 39.000000 432 428 10.000000 29.999414 0.000000 171.000000
7.822266 4.000000 40.000000 432 428 10.000000 30.118945 0.000000 172.000000
7.921875 4.000000 40.000000 432 428 10.000000 30.238477 0.000000 172.000000
8.023438 4.000000 40.000000 432 428 10.000000 30.360352 0.000000 172.000000
8.123047 4.000000 40.000000 432 428 10.000000 30.479883 0.000000 172.000000
8.224609 4.000000 40.000000 432 428 10.000000 30.601758 0.000000 172.000000
8.324219 4.000000 40.000000 432 428 10.000000 30.721289 0.000000 172.000000
8.423828 4.000000 40.000000 432 428 10.000000 30.840820 0.000000 172.000000
8.525391 4.000000 40.000000 432 428 10.000000 30.962695 0.000000 172.000000
8.625000 4.000000 41.000000 432 428 10.000000 31.082227 0.000000 173.000000
8.724609 4.000000 41.000000 432 428 10.000000 31.201758 0.000000 173.000000
8.826172 4.000000 41.000000 432 428 10.000000 31.323633 0.000000 173.000000
8.925781 4.000000 41.000000 432 428 10.000000 31.443164 0.000000 173.000000
9.027344 4.000000 41.000000 432 428 10.000000 31.565039 0.000000 173.000000
9.126953 4.000000 41.000000 432 428 10.000000 31.684570 0.000000 173.000000
9.228516 4.000000 41.000000 432 428 10.000000 31.806445 0.000000 173.000000
9.328125 4.000000 41.000000 432 428 10.000000 31.925977 0.000000 173.000000
9.427734 3.000000 37.000000 431 428 7.500000 32.015625 -2.007843 169.000000
9.527344 4.000000 44.000000 432 428 10.000000 32.135156 2.007843 176.000000
9.628906 4.000000 42.000000 432 428 10.000000 32.257031 0.000000 174.000000
9.728516 3.000000 37.000000 431 428 7.500000 32.346680 -2.007843 169.000000
9.828125 3.000000 39.000000 431 428 7.500000 32.436328 0.000000 171.000000
9.929688 3.000000 40.000000 431 428 7.500000 32.527734 0.000000 172.000000
10.029297 3.000000 40.000000 431 428 7.500000 32.617383 0.000000 172.000000
10.130859 4.000000 44.000000 432 428 10.000000 32.739258 1.969231 176.000000
10.230469 3.000000 38.000000 431 428 7.500000 32.828906 -2.007843 170.000000
10.330078 3.000000 40.000000 431 428 7.500000 32.918555 0.000000 172.000000
10.431641 3.000000 40.000000 431 428 7.500000 33.009961 0.000000 172.000000
10.531250 3.000000 40.000000 431 428 7.500000 33.099609 0.000000 172.000000
10.632812 4.000000 45.000000 432 428 10.000000 33.221484 1.969231 177.000000
10.732422 4.000000 43.000000 432 428 10.000000 33.341016 0.000000 175.000000
10.832031 4.000000 43.000000 432 428 10.000000 33.460547 0.000000 175.000000
10.931641 4.000000 43.000000 432 428 10.000000 33.580078 0.000000 175.000000
11.033203 4.000000 43.000000 432 428 10.000000 33.701953 0.000000 175.000000
11.132812 4.000000 43.000000 432 428 10.000000 33.821484 0.000000 175.000000
11.234375 4.000000 43.000000 432 428 10.000000 33.943359 0.000000 175.000000
11.333984 3.000000 39.000000 431 428 7.500000 34.033008 -2.007843 171.000000
11.433594 3.000000 41.000000 431 428 7.500000 34.122656 0.000000 173.000000
11.535156 3.000000 41.000000 431 428 7.500000 34.214063 0.000000 173.000000
11.634766 3.000000 41.000000 431 428 7.500000 34.303711 0.000000 173.000000
11.734375 3.000000 41.000000 431 428 7.500000 34.393359 0.000000 173.000000
11.835938 4.000000 46.000000 432 428 10.000000 34.515234 1.969231 178.000000
11.935547 3.000000 40.000000 431 428 7.500000 34.604883 -2.007843 172.000000
12.035156 3.000000 42.000000 431 428 7.500000 34.694531 0.000000 174.000000
12.136719 3.000000 42.000000 431 428 7.500000 34.785938 0.000000 174.000000
12.236328 3.000000 42.000000 431 428 7.500000 34.875586 0.000000 174.000000
12.337891 3.000000 42.000000 431 428 7.500000 34.966992 0.000000 174.000000
12.437500 3.000000 42.000000 431 428 7.500000 35.056641 0.000000 174.000000
12.537109 3.000000 42.000000 431 428 7.500000 35.146289 0.000000 174.000000
12.638672 3.000000 42.000000 431 428 7.500000 35.237695 0.000000 174.000000
12.738281 3.000000 42.000000 431 428 7.500000 35.327344 0.000000 174.000000
12.837891 3.000000 42.000000 431 428 7.500000 35.416992 0.000000 174.000000
12.937500 3.000000 43.000000 431 428 7.500000 35.506641 0.000000 175.000000
13.039062 4.000000 47.000000 432 428 10.000000 35.628516 1.969231 179.000000
13.138672 4.000000 45.000000 432 428 10.000000 35.748047 0.000000 177.000000
13.238281 2.000000 36.000000 430 428 5.000000 35.807813 -4.015686 168.000000
13.339844 2.000000 40.000000 430 428 5.000000 35.867578 0.000000 172.000000
13.439453 2.000000 40.000000 430 428 5.000000 35.927344 0.000000 172.000000
13.539062 2.000000 40.000000 430 428 5.000000 35.987109 0.000000 172.000000
13.638672 2.000000 41.000000 430 428 5.000000 36.046875 0.000000 173.000000
13.740234 2.000000 41.000000 430 428 5.000000 36.107813 0.000000 173.000000
13.839844 1.000000 36.000000 429 428 2.500000 36.137695 -2.007843 168.000000
13.939453 1.000000 38.000000 429 428 2.500000 36.167578 0.000000 170.000000
14.039062 2.000000 43.000000 430 428 5.000000 36.227344 2.007843 175.000000
14.140625 2.000000 41.000000 430 428 5.000000 36.288281 0.000000 173.000000
14.240234 2.000000 41.000000 430 428 5.000000 36.348047 0.000000 173.000000
14.339844 2.000000 41.000000 430 428 5.000000 36.407813 0.000000 173.000000
14.439453 2.000000 41.000000 430 428 5.000000 36.467578 0.000000 173.000000
14.541016 2.000000 41.000000 430 428 5.000000 36.528516 0.000000 173.000000
